recipient_type,number_of_forms_1042s,u_s_tax_withheld,total_u_s_source_income,interest_income,country,year,tax_haven,afchange,cayman,share_of_total_interest,share_of_total_income,share_of_total_forms,non_int_income,share_of_nonint_inc
Corporations,60175,463757,81898833,33899355,United Kingdom,2017,0,0,0,0.17477888477875145,0.23701516009634158,0.12764598946589142,47999478,0.3166465535646092
Individuals,180178,44336,356594,15927,Australia,2018,0,1,0,0.01409037586721234,0.03680716519366716,0.07294121361956876,340667,0.03980767536412887
Corporations,18476,361037,9885742,2862822,Australia,2018,0,1,0,0.012640462516921136,0.021993361400021356,0.03632767261838051,7022920,0.03149196170740106
Individuals,6182,4757,27413,7573,Bermuda,2018,1,1,0,0.00669971849327551,0.0028295339222028353,0.0025026506154812137,19840,0.0023183468877945815
Corporations,11960,370956,10991835,9382586,Bermuda,2018,1,1,0,0.041427733419957306,0.024454148166561874,0.02351585649035673,1609249,0.007216144835150258
Individuals,988,924,7594,4679,British Virgin Islands,2018,1,1,0,0.0041394404899030915,7.838427244449105e-4,3.999706904068973e-4,2915,3.4062405130651235e-4
Corporations,102536,390499,4545353,2818131,British Virgin Islands,2018,1,1,0,0.01244313452714611,0.010112300242073003,0.20160717902133926,1727222,0.007745155730690465
Individuals,524661,175881,1950596,73334,Canada,2018,0,1,0,0.06487747999285175,0.201337961934599,0.21239779595098496,1877262,0.21936212274571731
Corporations,75933,697065,44111766,17110771,Canada,2018,0,1,0,0.0755506487867989,0.09813790524081797,0.14930012800018877,27000995,0.12107703072250965
Individuals,2617,3935,237242,221358,Cayman Islands,2018,1,1,1,0.19583207265739871,0.024487808221327293,0.0010594365352174597,15884,0.0018560797361758634
Corporations,147846,2868781,99550908,81109453,Cayman Islands,2018,1,1,1,0.35812949614557826,0.22147645541875127,0.29069609687903686,18441455,0.08269460490632954
Individuals,374588,35237,982166,182241,China,2018,0,1,0,0.16122585473828369,0.1013778869235133,0.15164394835844014,799925,0.09347296543442946
Corporations,3994,78335,3046612,2056388,China,2018,0,1,0,0.009079745591673679,0.00677796757811825,0.00785303769418769,990224,0.0044403319829571615
Individuals,94590,39625,345096,20512,France,2018,0,1,0,0.01814665597967348,0.03562035670727427,0.03829274049148625,324584,0.03792834204777804
Corporations,10839,120826,41501228,12799435,France,2018,0,1,0,0.05651443867459049,0.09233009580350017,0.02131173649656995,28701793,0.12870369676569743
